Word,Frequency
students,54
learning,35
gamification,33
machine,31
paper,24
design,23
software,22
education,22
model,17
system,16
study,14
data,14
game,14
results,14
models,13
student,13
approach,12
algorithms,12
techniques,12
course,11
users,11
experience,10
user,10
ieee,10
needs,10
technology,10
analysis,10
elements,10
interaction,9
classification,9
school,9
technologies,8
performance,8
research,8
motivation,8
concepts,8
games,8
nature,8
context,8
authors,8
histology,8
systems,7
process,7
role,7
methods,7
knowledge,7
solutions,6
testing,6
information,6
years,6
community,6
city,6
teaching,6
application,6
class,6
los,6
implementation,5
reality,5
world,5
intelligence,5
environment,5
time,5
development,5
individuals,5
activity,5
curriculum,5
work,5
environments,5
strategies,5
animation,5
teachers,5
use,5
challenges,5
challenge,5
engagement,5
framework,5
subject,5
navigation,4
structure,4
anchors,4
methodologies,4
activities,4
applications,4
courses,4
tool,4
content,4
energy,4
copyright,4
science,4
computer,4
language,4
group,4
effect,4
processes,4
designs,4
skills,4
communication,4
project,4
studies,4
architecture,4
evaluation,4
engineering,4
ltd,4
program,4
outcomes,4
entrepreneurship,4
profile,4
solution,4
association,4
sail,4
analytics,4
actions,4
art,4
theory,4
principle,4
exercise,3
scope,3
people,3
location,3
space,3
stages,3
types,3
teams,3
test,3
behavior,3
categories,3
domain,3
experts,3
objectives,3
potential,3
target,3
topics,3
range,3
math,3
iso,3
quality,3
life,3
level,3
patterns,3
methodology,3
tools,3
rights,3
emotions,3
variables,3
period,3
ways,3
computing,3
need,3
materials,3
problems,3
tasks,3
faculty,3
rewards,3
number,3
platform,3
series,3
lessons,3
pattern,3
variable,3
matter,3
groups,3
form,3
realworld,3
effectiveness,3
llc,3
practices,3
algorithm,3
resources,3
step,3
platforms,3
examples,3
situations,3
heritage,3
recommendation,3
folk,3
appreciation,3
pathologist,3
report,3
body,2
team,2
decisions,2
exercises,2
todays,2
task,2
public,2
etc,2
person,2
help,2
app,2
routes,2
popularity,2
reason,2
service,2
sets,2
obstacles,2
behaviors,2
feature,2
mission,2
levels,2
programs,2
programming,2
field,2
lack,2
indicator,2
understanding,2
building,2
standard,2
strategy,2
analyse,2
interest,2
factors,2
experiments,2
improvements,2
successfailure,2
predictions,2
classifiers,2
switzerland,2
support,2
animations,2
accessibility,2
insights,2
hieroglyphs,2
hand,2
approaches,2
capabilities,2
textiles,2
face,2
recognition,2
waste,2
collection,2
aim,2
reference,2
medicine,2
university,2
scores,2
institute,2
physics,2
publishing,2
selfmotivation,2
educators,2
enticement,2
objective,2
method,2
participation,2
control,2
movesmart,2
grade,2
acquisition,2
difference,2
achievement,2
stem,2
projects,2
goal,2
way,2
characteristics,2
contribution,2
ontology,2
learners,2
dataset,2
licence,2
exploration,2
similarity,2
accuracy,2
fcm,2
order,2
implications,2
path,2
onlife,2
buddy,2
devices,2
chatbot,2
video,2
machinery,2
representation,2
computers,2
simulation,2
periodicals,2
inc,2
mechanics,2
snakes,2
gaming,2
situation,2
american,2
network,2
datasets,2
tests,2
foundations,2
display,2
tensor,2
values,2
opinions,2
anatomists,2
presents,1
exergame,1
water,1
air,1
fire,1
earthor,1
module,1
longtime,1
health,1
play,1
headset,1
controllers,1
trackers,1
gameplay,1
players,1
ownerauthor,1
lot,1
apps,1
structures,1
malls,1
airports,1
museums,1
factories,1
gps,1
