Word,Frequency
gamification,113
data,82
machine,67
learning,57
user,44
users,40
game,39
approach,36
process,32
training,32
design,30
paper,25
method,25
intelligence,25
use,24
results,24
model,24
performance,23
health,22
application,22
system,20
information,20
systems,19
study,19
elements,18
time,18
research,18
security,18
energy,17
crowdsourcing,17
participants,16
tasks,16
intervention,16
technologies,16
quality,16
platform,16
applications,15
development,15
order,15
context,15
patients,15
task,15
algorithm,15
authors,15
technology,15
models,15
work,14
methods,14
ieee,13
assessment,13
group,13
knowledge,13
groups,12
rights,12
reality,12
problem,11
framework,11
individuals,11
techniques,11
creation,11
way,11
solutions,11
games,11
accuracy,11
activities,11
emotion,11
case,10
analysis,10
features,10
tools,10
classification,9
approaches,9
implementation,9
environment,9
article,9
number,9
challenges,9
generation,9
types,9
backdoor,9
strategy,8
annotation,8
control,8
feedback,8
problems,8
benefits,8
companies,8
reinforcement,8
skills,8
cases,7
engagement,7
players,7
objects,7
state,7
personalization,7
activity,7
switzerland,7
datasets,7
motivation,7
impact,7
nature,7
contributions,7
map,7
solution,6
ways,6
experiment,6
aspects,6
evaluation,6
technique,6
designs,6
result,6
target,6
project,6
science,6
collection,6
copyright,6
interaction,6
behavior,6
trial,6
recognition,6
level,6
interest,6
image,6
agents,6
participation,6
behaviour,6
patterns,6
decisions,6
services,6
personality,6
business,6
points,6
consumer,6
literature,5
purpose,5
concepts,5
experiments,5
experience,5
player,5
experts,5
prototype,5
algorithms,5
set,5
goal,5
license,5
researchers,5
characteristics,5
environments,5
computer,5
survey,5
concept,5
levels,5
tool,5
usage,5
acceptability,5
satisfaction,5
website,5
analytics,5
differences,5
progress,5
strategies,5
rehabilitation,5
scenarios,5
industry,5
computing,5
value,5
education,5
citizen,5
customers,5
interviews,5
effects,5
aerospace,5
media,5
enigma,5
role,5
practice,5
labeling,5
rewards,5
springer,5
stroke,5
optimization,5
reward,5
surveillance,5
account,4
ability,4
domain,4
means,4
visualization,4
web,4
effort,4
interactions,4
type,4
input,4
narrative,4
basis,4
usability,4
usefulness,4
action,4
components,4
acm,4
therapy,4
patient,4
improvement,4
challenge,4
transcription,4
images,4
interface,4
potential,4
resources,4
procedures,4
need,4
detection,4
attention,4
management,4
methodology,4
motion,4
movement,4
disorders,4
credo,4
devices,4
competition,4
signal,4
field,4
findings,4
gaming,4
opportunity,4
idea,4
humans,4
measures,4
xai,4
platforms,4
area,4
units,4
advances,4
power,4
expression,4
studies,4
response,4
srl,4
internet,4
consumers,4
apps,4
society,4
mibci,4
transfer,4
curriculum,4
mapping,4
dimensions,3
impairment,3
scores,3
dataset,3
classifiers,3
people,3
commons,3
content,3
highquality,3
overview,3
reallife,3
difficulty,3
company,3
adults,3
years,3
access,3
sessions,3
delivery,3
weeks,3
tracking,3
session,3
text,3
brain,3
brant,3
monitoring,3
capabilities,3
limitations,3
life,3
scitepress,3
publications,3
largescale,3
document,3
word,3
experiences,3
forms,3
twins,3
agrochemicals,3
increase,3
agrochemical,3
transactions,3
database,3
situations,3
object,3
language,3
avatar,3
paradigm,3
app,3
network,3
artefacts,3
teaching,3
consumption,3
motivations,3
principles,3
clusters,3
relationships,3
achievement,3
threat,3
ideas,3
agencies,3
institute,3
attack,3
analysts,3
lack,3
team,3
agent,3
effectiveness,3
understanding,3
opportunities,3
example,3
fusion,3
play,3
explainability,3
wellknown,3
line,3
virtue,3
hospital,3
businesses,3
poland,3
aim,3
methodologies,3
background,3
theory,3
flexibility,3
aco,3
facegame,3
expressions,3
obesity,3
mcts,3
recommendations,3
profiling,3
integration,3
organizations,3
success,3
fields,3
interventions,3
body,3
novice,3
assessments,3
eeg,3
question,3
condition,3
site,3
kids,3
individual,3
wellbeing,3
practices,2
terms,2
developers,2
diseases,2
issue,2
inputs,2
times,2
examples,2
labelling,2
end,2
students,2
degree,2
public,2
query,2
scenario,2
world,2
committee,2
skill,2
hexad,2
heuristics,2
rule,2
vision,2
amounts,2
multistep,2
purposes,2
implementations,2
foundation,2
tutorials,2
indicators,2
robot,2
character,2
assistant,2
extension,2
product,2
observations,2
months,2
advice,2
retention,2
respect,2
plans,2
visits,2
betweengroup,2
ease,2
questions,2
video,2
employees,2
cost,2
professionals,2
home,2
sustainability,2
situation,2
ownerauthors,2
manner,2
costs,2
advantages,2
scale,2
adaptation,2
advantage,2
guidance,2
farms,2
damage,2
piracy,2
products,2
sensors,2
blockchains,2
modeling,2
scoring,2
consortium,2
blockchain,2
mdpi,2
basel,2
eye,2
space,2
era,2
etc,2
processes,2
leap,2
paths,2
movements,2
quantification,2
sensor,2
recordings,2
sets,2
validation,2
projects,2
ray,2
base,2
effect,2
signals,2
difference,2
developments,2
direction,2
review,2
convergence,2
influence,2
efforts,2
help,2
saving,2
supplier,2
phase,2
alternative,2
customer,2
dashboard,2
actions,2
face,2
competencies,2
subject,2
byncnd,2
fitness,2
typologies,2
needs,2
improvements,2
industries,2
tech,2
change,2
mission,2
metrics,2
engineering,2
scientists,2
objective,2
automation,2
acquisition,2
dissemination,2
cps,2
operations,2
attacks,2
defender,2
shap,2
values,2
vectors,2
contribution,2
predictions,2
series,2
importance,2
explanations,2
perspective,2
doctors,2
healthcare,2
privacy,2
clients,2
concerns,2
settings,2
element,2
labels,2
variety,2
teams,2
escape,2
room,2
tests,2
communication,2
ocean,2
gameplay,2
rise,2
complexity,2
correlation,2
goals,2
subspaces,2
projections,2
subspace,2
offset,2
size,2
step,2
mechanisms,2
safety,2
treatment,2
reduction,2
sectors,2
deployment,2
journal,2
articles,2
ecommerce,2
stages,2
attempt,2
apartment,2
synthesis,2
suitability,2
mmas,2
ants,2
edge,2
manipulation,2
graphs,2
variations,2
weight,2
class,2
zermelo,2
plan,2
things,2
rhs,2
factors,2
peak,2
load,2
grid,2
efficiency,2
focus,2
habits,2
mhealth,2
adherence,2
acceptance,2
narratives,2
conditions,2
structures,2
aspect,2
pace,2
ownership,2
sbt,2
curricula,2
endoscopy,2
endoscopists,2
hours,2
simulation,2
simulator,2
publication,2
neuroscience,2
feasibility,2
age,2
form,2
rules,2
expertise,2
faculties,2
sensing,2
heritage,2
location,2
files,2
adversary,2
future,2
evolution,2
tourism,2
otas,2
marketing,2
generations,2
disorder,2
msceit,2
prediction,2
freight,2
transport,2
volunteer,2
conduct,2
habit,2
evidence,1
inefficiency,1
selfcare,1
developer,1
test,1
profile,1
cycle,1
questionnaire,1
interview,1
alzheimers,1
disease,1
inaccuracies,1
wackamole,1
svr,1
reaction,1
ingame,1
heart,1
rate,1
interpretation,1
naïve,1
bayes,1
parameters,1
newswire,1
phd,1
master,1
reviews,1
formulation,1
exploitation,1
andor,1
boring,1
conference,1
trend,1
workload,1
selection,1
deterdings,1
lens,1
atoms,1
steps,1
demonstration,1
contextaware,1
classifier,1
cn2,1
inducer,1
walter,1
gruyter,1
gmbh,1
berlinboston,1
google,1
telephone,1
surveys,1
post,1
statistics,1
postintervention,1
majority,1
instances,1
mean,1
conclusion,1
incorporation,1
dialogue,1
software,1
companys,1
clinic,1
injury,1
dementia,1
decline,1
generator,1
enhancement,1
belief,1
revision,1
longterm,1
airehab,1
linebyline,1
occurrences,1
courses,1
costefficient,1
fromvrar,1
degrees,1
virtualization,1
proposes,1
learningtraining,1
blend,1
regard,1
aids,1
population,1
increases,1
food,1
monoculture,1
possibility,1
theft,1
misuse,1
issues,1
traceability,1
aptm,1
microcontrollers,1
dimension,1
record,1
handling,1
disposal,1
recording,1
supply,1
chain,1
trip,1
transfers,1
layer,1
persistence,1
nodes,1
cpu,1
horizon,1
applicability,1
childrens,1
litte,1
scene,1
singlesentence,1
clue,1
bottomup,1
color,1
speech,1
chance,1
curiosity,1
guessing,1
inboxes,1
repositories,1
brains,1
coworkers,1
gathering,1
retrieval,1
center,1
repository,1
networking,1
decision,1
core,1
benefit,1
capital,1
organization,1
dlrsart,1
diagnoses,1
dermatologists,1
physician,1
annotations,1
contours,1
intersections,1
shapes,1
lesion,1
segmentation,1
multimedia,1
dermatology,1
gwap,1
production,1
sharing,1
choices,1
theories,1
assumptions,1
details,1
association,1
machinery,1
limb,1
hindrances,1
controller,1
axis,1
discrimination,1
detail,1
horizontal,1
vertical,1
procedure,1
observatory,1
radiation,1
earth,1
rays,1
detector,1
phones,1
cmos,1
particle,1
hunters,1
cnn,1
trigger,1
artefact,1
assignments,1
annotators,1
daubechies,1
wavelets,1
wavelet,1
ratio,1
supervision,1
humancomputer,1
nongaming,1
advancement,1
inception,1
confluence,1
endeavors,1
dutch,1
suppliers,1
behaviours,1
preferences,1
knutas,1
parts,1
customization,1
stakeholders,1
editor,1
households,1
mechanics,1
dechema,1
proposal,1
desertion,1
latent,1
didactics,1
relationship,1
personalisation,1
novel,1
sociability,1
light,1
discussion,1
attribution,1
point,1
maturity,1
labor,1
barriers,1
entry,1
phone,1
cars,1
professions,1
candidate,1
pool,1
workforce,1
climate,1
changes,1
architecture,1
10x,1
discovery,1
mindset,1
requirements,1
term,1
workshops,1
academia,1
american,1
aeronautics,1
astronautics,1
inc,1
replicas,1
counterparts,1
sources,1
dts,1
source,1
breaches,1
surface,1
attackers,1
loopholes,1
intelligencemachine,1
orchestration,1
transparency,1
confidence,1
train,1
attacker,1
outcome,1
explanation,1
viability,1
nonexperts,1
forecasting,1
price,1
feature,1
practitioners,1
persistent,1
deficiency,1
allocation,1
enables,1
tradingsharing,1
presence,1
laws,1
strength,1
scalability,1
blockchainintheloop,1
hyperledger,1
fabric,1
component,1
enterpriselevel,1
ledger,1
layers,1
tracing,1
levelup,1
enhancements,1
quantity,1
icst,1
sciences,1
informatics,1
telecommunications,1
roles,1
members,1
teammembers,1
rooms,1
traits,1
openness,1
conscientiousness,1
neuroticism,1
stability,1
styles,1
trait,1
abstractness,1
desire,1
clustering,1
foldit,1
geotime,1
machines,1
correlations,1
regards,1
pattern,1
lines,1
incentive,1
examination,1
density,1
cluster,1
minimum,1
spanning,1
tree,1
coverage,1
comprehensibility,1
doubleblind,1
custom,1
memory,1
extent,1
living,1
unit,1
survivors,1
transformation,1
discussions,1
attempts,1
dueto,1
edtech,1
medicine,1
dis,1
popularity,1
ones,1
stage,1
identification,1
criterion,1
author,1
wisdom,1
crowd,1
opinions,1
definition,1
europe,1
aml,1
humanintheloop,1
insights,1
iml,1
colony,1
fosters,1
loop,1
unification,1
salesman,1
implications,1
fact,1
snakelike,1
snakesman,1
mmasalgorithm,1
human,1
snake,1
graph,1
ant,1
pheromone,1
probability,1
tour,1
path,1
kind,1
round,1
landmarks,1
label,1
variation,1
abilities,1
prescription,1
perception,1
position,1
prevention,1
stop,1
integrates,1
chatbot,1
implication,1
protection,1
regulation,1
gdpr,1
approximation,1
tron,1
voronoi,1
bot,1
moves,1
percentage,1
selfgameplay,1
board,1
atari,1
dota2,1
deepmind,1
modelfree,1
montecarlotreesearch,1
hintikkas,1
semantics,1
planning,1
policy,1
multiagent,1
ifaamas,1
treatments,1
thought,1
cognition,1
iomt,1
therapies,1
postprocessing,1
crossrelations,1
targets,1
epicenter,1
grids,1
portion,1
demand,1
utility,1
entities,1
smoothing,1
carbon,1
emission,1
curtailment,1
savings,1
gaps,1
outputs,1
recommender,1
energyefficient,1
stateoftheart,1
directions,1
ccby,1
websites,1
mass,1
sarsa,1
onpolicy,1
lives,1
appearance,1
aging,1
modelling,1
mining,1
mood,1
care,1
shift,1
actualisation,1
cloud,1
centres,1
fictions,1
doctorow,1
charles,1
stross,1
dave,1
eggers,1
cline,1
fictionality,1
stories,1
walkaway,1
collisions,1
statesthe,1
tension,1
illusions,1
freedom,1
exercise,1
perspectives,1
reach,1
networks,1
characters,1
societies,1
assistants,1
bots,1
apprenticeship,1
setting,1
potentials,1
individualization,1
fears,1
backgrounds,1
httpscreativecommonsorglicensesbyncnd40,1
responsibility,1
kes,1
international,1
motor,1
imagery,1
braincomputer,1
runs,1
leftright,1
hand,1
operation,1
affect,1
magnitude,1
illusion,1
sensorimotor,1
rhythm,1
škola,1
tinková,1
liarokapis,1
contexts,1
thirtysix,1
oneonone,1
expert,1
colonoscopy,1
leaderboard,1
badges,1
simulators,1
benchtop,1
endovr,1
place,1
colonoscopies,1
anovas,1
ethics,1
approval,1
michaels,1
presentation,1
meetings,1
registration,1
nct03176251,1
employers,1
reuse,1
bync,1
populations,1
lab,1
samples,1
suite,1
replicates,1
analyses,1
days,1
insight,1
highlevel,1
groundtruth,1
ambiguities,1
phenomena,1
refinement,1
linguists,1
intransparent,1
visualinteractive,1
instance,1
workspace,1
brand,1
folks,1
motivates,1
singapore,1
pte,1
ltd,1
decades,1
community,1
surging,1
scavenger,1
hunt,1
riddles,1
visit,1
sightseeing,1
visitors,1
sites,1
monuments,1
structure,1
monument,1
vulnerability,1
testing,1
misclassifies,1
version,1
turk,1
travel,1
hereinafter,1
icts,1
art,1
etravel,1
decade,1
advancements,1
knowhow,1
incentives,1
sides,1
tokens,1
preparation,1
foundations,1
arguments,1
conferences,1
carrying,1
factor,1
deferent,1
status,1
questionnaires,1
measurement,1
minigame,1
faces,1
facilitation,1
speed,1
hisher,1
adaptiveindividualtask,1
everyday,1
support,1
literacies,1
ownerauthor,1
traffic,1
consequences,1
congestion,1
noise,1
emissions,1
market,1
volume,1
euros,1
growth,1
clothing,1
footwear,1
category,1
willemsen,1
commerce,1
footprint,1
shop,1
orders,1
returns,1
day,1
deliveries,1
co2,1
goods,1
online,1
shopping,1
hofacker,1
langenberg,1
kristensen,1
thinkfirst,1
mobility,1
combination,1
manufacturer,1
biases,1
estimation,1
vgi,1
inequalities,1
crises,1
learningvgi,1
mlvgi,1
workflows,1
volunteers,1
evaluations,1
safari,1
fun,1
mappers,1
enjoyment,1
gamelike,1
cartography,1
promise,1
item,1
interpretations,1
latency,1
precision,1
schedules,1
habitbuilding,1
productivity,1
audience,1
enthusiasm,1
quizzes,1
takeaway,1
tracker,1
inapp,1
calendar,1
streak,1
counter,1
screen,1
navigation,1
prerequisite,1
anxiety,1
domains,1
rationale,1
percent,1
themes,1
